,NCBI_IDs,NCBI_taxa,,,Symbol,Size,Color,Fill,Position,Label
188,40442,Fomes_fomentarius,Fomes_fomentarius|40442,Fomes_fomentarius|40442,NA,NA,NA,NA,NA,NA
189,40452,Trichaptum_abietinum,Trichaptum_abietinum|40452,Trichaptum_abietinum|40452,NA,NA,NA,NA,NA,NA
190,40454,Trametes_suaveolens,Trametes_suaveolens|40454,Trametes_suaveolens|40454,NA,NA,NA,NA,NA,NA
191,40457,Fistulina_hepatica,Fistulina_hepatica|40457,Fistulina_hepatica|40457,NA,NA,NA,NA,NA,NA
192,40520,Blautia_obeum,Blautia_obeum|40520,Blautia_obeum|40520,NA,NA,NA,NA,NA,NA
193,40607,Nectria_pseudotrichia,Nectria_pseudotrichia|40607,Nectria_pseudotrichia|40607,NA,NA,NA,NA,NA,NA
194,40658,Plectosphaerella_cucumerina,Plectosphaerella_cucumerina|40658,Plectosphaerella_cucumerina|40658,NA,NA,NA,NA,NA,NA
195,40695,Trichoderma_polysporum,Trichoderma_polysporum|40695,Trichoderma_polysporum|40695,NA,NA,NA,NA,NA,NA
196,41200,Bifidobacterium_sp.,Bifidobacterium_sp.|41200,Bifidobacterium_sp.|41200,Circle,10,#FF000,NA,1,NA
197,41900,Aspergillus_flavipes,Aspergillus_flavipes|41900,Aspergillus_flavipes|41900,NA,NA,NA,NA,NA,NA
198,42374,Candida_dubliniensis,Candida_dubliniensis|42374,Candida_dubliniensis|42374,NA,NA,NA,NA,NA,NA
199,42881,Streptomyces_chromofuscus,Streptomyces_chromofuscus|42881,Streptomyces_chromofuscus|42881,NA,NA,NA,NA,NA,NA
200,43348,Mycobacterium_branderi,Mycobacterium_branderi|43348,Mycobacterium_branderi|43348,NA,NA,NA,NA,NA,NA
201,43656,Pseudoalteromonas_denitrificans,Pseudoalteromonas_denitrificans|43656,Pseudoalteromonas_denitrificans|43656,NA,NA,NA,NA,NA,NA
202,45277,Sarocladium_kiliense,Sarocladium_kiliense|45277,Sarocladium_kiliense|45277,NA,NA,NA,NA,NA,NA
203,45279,Acremonium_rutilum,Acremonium_rutilum|45279,Acremonium_rutilum|45279,NA,NA,NA,NA,NA,NA
204,45634,Streptococcus_cristatus,Streptococcus_cristatus|45634,Streptococcus_cristatus|45634,NA,NA,NA,NA,NA,NA
205,47320,Cortinarius_californicus,Cortinarius_californicus|47320,Cortinarius_californicus|47320,NA,NA,NA,NA,NA,NA
206,47346,Cortinarius_cinnamomeus,Cortinarius_cinnamomeus|47346,Cortinarius_cinnamomeus|47346,NA,NA,NA,NA,NA,NA
207,47850,Micromonospora_aurantiaca,Micromonospora_aurantiaca|47850,Micromonospora_aurantiaca|47850,Circle,10,#FF000,NA,1,NA
208,48565,Suillus_brevipes,Suillus_brevipes|48565,Suillus_brevipes|48565,NA,NA,NA,NA,NA,NA
209,48591,Suillus_umbonatus,Suillus_umbonatus|48591,Suillus_umbonatus|48591,NA,NA,NA,NA,NA,NA
